Estación,Fecha,Mes,Año,Precipitación_imputada,Precipitación_ajustada,Vecina,factor_ajuste
23085110,2012-09,Septiembre,2012,128.6,128.6,,1.0
23085110,2012-10,Octubre,2012,278.3,278.3,,1.0
23085110,2012-11,Noviembre,2012,286.0,286.0,,1.0
23085110,2012-12,Diciembre,2012,77.8,77.8,23085160,1.0
23085110,2013-01,Enero,2013,78.9,78.9,,1.0
23085110,2013-02,Febrero,2013,234.2,234.2,,1.0
23085110,2013-03,Marzo,2013,87.4,87.4,,1.0
23085110,2013-04,Abril,2013,180.2,188.95843507367817,23085160,1.0486039682224095
23085110,2013-05,Mayo,2013,443.2,443.2,23085160,1.0
23085110,2013-06,Junio,2013,255.2,255.2,,1.0
23085110,2013-07,Julio,2013,81.5,120.1478533737238,23085160,1.4742067898616418
23085110,2013-08,Agosto,2013,337.1,337.1,23085160,1.0
23085110,2013-09,Septiembre,2013,319.4,319.4,,1.0
23085110,2013-10,Octubre,2013,243.3,243.3,,1.0
23085110,2013-11,Noviembre,2013,347.6,347.6,,1.0
23085110,2013-12,Diciembre,2013,208.6,208.6,23085160,1.0
23085110,2014-01,Enero,2014,81.5,81.5,,1.0
23085110,2014-02,Febrero,2014,134.2,134.2,,1.0
23085110,2014-03,Marzo,2014,154.0,154.0,,1.0
23085110,2014-04,Abril,2014,169.4,177.63351221687617,23085160,1.0486039682224095
23085110,2014-05,Mayo,2014,283.5,283.5,23085160,1.0
23085110,2014-06,Junio,2014,190.1,190.1,,1.0
23085110,2014-07,Julio,2014,55.8,82.26073887427961,23085160,1.4742067898616418
23085110,2014-08,Agosto,2014,196.6,196.6,23085160,1.0
23085110,2014-09,Septiembre,2014,261.5,261.5,,1.0
23085110,2014-10,Octubre,2014,308.7,308.7,,1.0
23085110,2014-11,Noviembre,2014,191.2,191.2,,1.0
23085110,2014-12,Diciembre,2014,158.7,158.7,23085160,1.0
23085110,2015-01,Enero,2015,116.4,116.4,,1.0
23085110,2015-02,Febrero,2015,127.7,127.7,,1.0
23085110,2015-03,Marzo,2015,188.6,188.6,,1.0
23085110,2015-04,Abril,2015,261.3,274.0002168965156,23085160,1.0486039682224095
23085110,2015-05,Mayo,2015,217.7,217.7,23085160,1.0
23085110,2015-06,Junio,2015,71.7,71.7,,1.0
23085110,2015-07,Julio,2015,196.8,290.1238962447711,23085160,1.4742067898616418
23085110,2015-08,Agosto,2015,214.4,214.4,23085160,1.0
23085110,2015-09,Septiembre,2015,149.6,149.6,,1.0
23085110,2015-10,Octubre,2015,175.0,175.0,,1.0
23085110,2015-11,Noviembre,2015,269.5,269.5,,1.0
23085110,2015-12,Diciembre,2015,10.9,10.9,23085160,1.0
23085110,2016-01,Enero,2016,40.9,40.9,,1.0
23085110,2016-02,Febrero,2016,137.4,137.4,,1.0
23085110,2016-03,Marzo,2016,108.1,108.1,,1.0
23085110,2016-04,Abril,2016,311.1,326.22069451399165,23085160,1.0486039682224095
23085110,2016-05,Mayo,2016,175.4,174.53321399773458,23085160,0.9950582325982587
23085110,2016-06,Junio,2016,63.5,63.5,,1.0
23085110,2016-07,Julio,2016,223.7,329.7800588920492,23085160,1.4742067898616418
23085110,2016-08,Agosto,2016,254.1,254.1,23085160,1.0
23085110,2016-09,Septiembre,2016,385.3,385.3,,1.0
23085110,2016-10,Octubre,2016,308.3,308.3,,1.0
23085110,2016-11,Noviembre,2016,208.6,208.6,,1.0
23085110,2016-12,Diciembre,2016,235.2,235.2,23085160,1.0
23085110,2017-01,Enero,2017,183.3,183.3,,1.0
23085110,2017-02,Febrero,2017,100.2,100.2,,1.0
23085110,2017-03,Marzo,2017,471.4,471.4,,1.0
23085110,2017-04,Abril,2017,118.4,124.15470983753329,23085160,1.0486039682224095
23085110,2017-05,Mayo,2017,478.1,475.7373410052275,23085160,0.9950582325982587
23085110,2017-06,Junio,2017,451.9,451.9,,1.0
23085110,2017-07,Julio,2017,92.6,136.51154874118802,23085160,1.4742067898616418
23085110,2017-08,Agosto,2017,253.1,350.55120732372626,23085160,1.3850304516939007
23085110,2017-09,Septiembre,2017,379.0,379.0,,1.0
23085110,2017-10,Octubre,2017,257.9,257.9,,1.0
23085110,2017-11,Noviembre,2017,228.2,228.2,,1.0
23085110,2017-12,Diciembre,2017,85.1,85.1,23085160,1.0
23085110,2018-01,Enero,2018,227.3,227.3,,1.0
23085110,2018-02,Febrero,2018,101.9,101.9,,1.0
23085110,2018-03,Marzo,2018,126.9,126.9,,1.0
23085110,2018-04,Abril,2018,290.1,304.20001118132103,23085160,1.0486039682224095
23085110,2018-05,Mayo,2018,413.2,411.1580617096005,23085160,0.9950582325982587
23085110,2018-06,Junio,2018,176.6,176.6,,1.0
23085110,2018-07,Julio,2018,145.0,213.75998452993807,23085160,1.4742067898616418
